Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

======== КОМПЕНСАЦИЯ ПО ПОЗИЦИЯМ (k=0 ходит первым) ========
classic    на 2 komi=как в игре k0 49.3%(79) k1 49.5%(76) | разброс 0.2 п.п. | ничьих раундов 1.1% | раундов 4.18
big        на 2 komi=как в игре k0 51.4%(180) k1 48.3%(178) | разброс 3.1 п.п. | ничьих раундов 0.2% | раундов 4.16
draft      на 2 komi=как в игре k0 47.4%(66) k1 50.8%(69) | разброс 3.3 п.п. | ничьих раундов 1.8% | раундов 2.56
race       на 2 komi=как в игре k0 58.5%(69) k1 40.1%(60) | разброс 18.5 п.п. | ничьих раундов 1.4% | раундов 7.87
territory  на 2 komi=как в игре k0 46.0%(10) k1 53.6%(11) | разброс 7.6 п.п. | ничьих раундов 0.5% | раундов 2.55
classic    на 3 komi=как в игре k0 36.8%(71) k1 30.1%(69) k2 31.4%(68) | разброс 6.7 п.п. | ничьих раундов 1.7% | раундов 4.28
big        на 3 komi=как в игре k0 42.0%(159) k1 30.2%(148) k2 27.2%(143) | разброс 14.8 п.п. | ничьих раундов 0.6% | раундов 4.16
draft      на 3 komi=как в игре k0 30.5%(57) k1 36.4%(60) k2 31.3%(58) | разброс 5.9 п.п. | ничьих раундов 1.8% | раундов 2.71
race       на 3 komi=как в игре k0 40.8%(61) k1 31.2%(56) k2 25.9%(53) | разброс 14.9 п.п. | ничьих раундов 2.1% | раундов 8.60
territory  на 3 komi=как в игре k0 28.0%(9) k1 34.4%(9) k2 37.5%(9) | разброс 9.5 п.п. | ничьих раундов 0.1% | раундов 2.71
classic    на 4 komi=как в игре k0 30.4%(66) k1 23.0%(64) k2 21.7%(63) k3 22.8%(62) | разброс 8.7 п.п. | ничьих раундов 2.0% | раундов 4.27
big        на 4 komi=как в игре k0 32.1%(143) k1 23.6%(135) k2 22.3%(130) k3 21.1%(127) | разброс 11.0 п.п. | ничьих раундов 0.9% | раундов 4.25
draft      на 4 komi=как в игре k0 21.8%(52) k1 25.7%(53) k2 25.5%(54) k3 23.9%(52) | разброс 3.9 п.п. | ничьих раундов 3.2% | раундов 2.80
race       на 4 komi=как в игре k0 31.2%(55) k1 22.9%(52) k2 22.6%(50) k3 20.7%(49) | разброс 10.5 п.п. | ничьих раундов 2.7% | раундов 9.28
territory  на 4 komi=как в игре k0 21.5%(8) k1 23.0%(8) k2 27.7%(8) k3 27.3%(8) | разброс 6.2 п.п. | ничьих раундов 0.5% | раундов 2.75

======== ТО ЖЕ БЕЗ КОМПЕНСАЦИИ (komi = 0) — СЫРОЙ ПЕРЕКОС ========
classic    на 2 komi=0         k0 45.3%(72) k1 54.0%(76) | разброс 8.7 п.п. | ничьих раундов 0.8% | раундов 4.23
big        на 2 komi=0         k0 45.9%(164) k1 53.7%(178) | разброс 7.8 п.п. | ничьих раундов 0.4% | раундов 4.23
draft      на 2 komi=0         k0 41.3%(60) k1 57.6%(68) | разброс 16.3 п.п. | ничьих раундов 1.0% | раундов 2.61
race       на 2 komi=0         k0 51.2%(63) k1 47.5%(61) | разброс 3.7 п.п. | ничьих раундов 1.3% | раундов 8.10
territory  на 2 komi=0         k0 44.9%(11) k1 54.9%(11) | разброс 9.9 п.п. | ничьих раундов 0.2% | раундов 2.56
classic    на 3 komi=0         k0 31.6%(63) k1 31.6%(65) k2 35.4%(68) | разброс 3.8 п.п. | ничьих раундов 1.3% | раундов 4.32
big        на 3 komi=0         k0 33.6%(138) k1 31.6%(139) k2 34.0%(143) | разброс 2.5 п.п. | ничьих раундов 0.8% | раундов 4.28
draft      на 3 komi=0         k0 23.4%(49) k1 35.8%(55) k2 39.0%(57) | разброс 15.6 п.п. | ничьих раундов 1.8% | раундов 2.81
race       на 3 komi=0         k0 32.0%(52) k1 31.9%(52) k2 33.8%(53) | разброс 1.9 п.п. | ничьих раундов 2.2% | раундов 9.08
territory  на 3 komi=0         k0 26.2%(9) k1 34.5%(9) k2 38.8%(9) | разброс 12.5 п.п. | ничьих раундов 0.4% | раундов 2.74
classic    на 4 komi=0         k0 24.7%(57) k1 23.6%(59) k2 23.2%(60) k3 26.8%(61) | разброс 3.6 п.п. | ничьих раундов 1.7% | раундов 4.31
big        на 4 komi=0         k0 25.3%(121) k1 22.1%(121) k2 26.0%(125) k3 26.1%(126) | разброс 4.0 п.п. | ничьих раундов 0.6% | раундов 4.26
draft      на 4 komi=0         k0 16.2%(44) k1 23.8%(48) k2 27.3%(50) k3 30.6%(52) | разброс 14.4 п.п. | ничьих раундов 2.0% | раундов 2.85
race       на 4 komi=0         k0 23.6%(47) k1 22.3%(46) k2 25.3%(48) k3 26.0%(48) | разброс 3.7 п.п. | ничьих раундов 2.9% | раундов 9.88
territory  на 4 komi=0         k0 20.7%(8) k1 22.3%(8) k2 28.1%(8) k3 28.5%(8) | разброс 7.8 п.п. | ничьих раундов 0.4% | раундов 2.76

======== ПОДБОР: РАЗНЫЕ ЗНАЧЕНИЯ КОМПЕНСАЦИИ ========
classic    на 2 komi=0         k0 45.3%(72) k1 54.0%(76) | разброс 8.7 п.п. | ничьих раундов 0.8% | раундов 4.23
classic    на 2 komi=3         k0 47.1%(75) k1 52.1%(76) | разброс 5.0 п.п. | ничьих раундов 0.8% | раундов 4.21
classic    на 2 komi=6         k0 49.3%(79) k1 49.5%(76) | разброс 0.2 п.п. | ничьих раундов 1.1% | раундов 4.18
classic    на 2 komi=12        k0 55.2%(85) k1 44.1%(76) | разброс 11.1 п.п. | ничьих раундов 0.7% | раундов 4.04
classic    на 2 komi=18        k0 59.7%(90) k1 39.8%(76) | разброс 19.9 п.п. | ничьих раундов 0.5% | раундов 3.98
big        на 2 komi=0         k0 45.9%(164) k1 53.7%(178) | разброс 7.8 п.п. | ничьих раундов 0.4% | раундов 4.23
big        на 2 komi=8         k0 48.7%(172) k1 51.0%(178) | разброс 2.3 п.п. | ничьих раундов 0.3% | раундов 4.20
big        на 2 komi=16        k0 51.4%(180) k1 48.3%(178) | разброс 3.1 п.п. | ничьих раундов 0.2% | раундов 4.16
big        на 2 komi=32        k0 56.4%(195) k1 43.3%(179) | разброс 13.1 п.п. | ничьих раундов 0.2% | раундов 4.07
big        на 2 komi=48        k0 61.2%(212) k1 38.3%(178) | разброс 22.9 п.п. | ничьих раундов 0.5% | раундов 3.97
draft      на 2 komi=0         k0 41.3%(60) k1 57.6%(68) | разброс 16.3 п.п. | ничьих раундов 1.0% | раундов 2.61
draft      на 2 komi=3         k0 44.7%(64) k1 53.8%(68) | разброс 9.2 п.п. | ничьих раундов 1.5% | раундов 2.58
draft      на 2 komi=6         k0 47.4%(66) k1 50.8%(69) | разброс 3.3 п.п. | ничьих раундов 1.8% | раундов 2.56
